naics,essential,regular,socialdistance,reopenfinance,reopenretail,reopenschool,alternateschool,alternatework,alternateschoolwork,wfh,wfhreopenschool,wfhalternateschool,shutold,reopennaics23,reopennaics44,reopennaics51,reopennaics52,reopennaics53,reopennaics54,reopennaics55,reopennaics56,reopennaics61,reopennaics71,reopennaics72,reopennaics81,reopennaics5,cautious
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,0,1,0,0,0,0,0,0.5,0.5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,0,1,0,0,1,0,0,0.5,0.5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,0,1,0,0,0,0,0,0.5,0.5,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
52,0,1,0,1,0,0,0,0.5,0.5,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
53,0,1,0,0,0,0,0,0.5,0.5,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
54,0,1,0,0,0,0,0,0.5,0.5,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
55,0,1,0,0,0,0,0,0.5,0.5,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
56,0,1,0,0,0,0,0,0.5,0.5,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
61,0,1,0,0,0,0,0,0.5,0.5,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,0,1,0,0,0,0,0,0.5,0.5,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
72,0,1,0,0,0,0,0,0.5,0.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
81,0,1,0,0,0,0,0,0.5,0.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1