Policy1,Policy2,Policy3,Policy4,MSA,BaselineAdjDeaths,BaselineAdjEmpHours,Deaths,EmpHoursLost,Population
W4-S3-N3-E2-M3,W1-S1-N1-E2-M2,W2-S1-N1-E2-M2,W4-S1-N2-E2-M2,5600,0,0,50007.12507,367983593.1,18007950.11
W4-S3-N3-E2-M3,W1-S1-N1-E2-M2,W2-S1-N1-E2-M2,W4-S3-N3-E2-M2,5600,0.005855443,0.000825939,50299.93894,368287525.1,18007950.11
W4-S3-N3-E2-M3,W1-S1-N1-E2-M2,W2-S1-N1-E2-M2,W1-S1-N1-E2-M2,5600,-0.009412003,0.413288203,49536.45788,520066871,18007950.11
W4-S3-N3-E2-M3,W1-S1-N1-E2-M2,W2-S1-N1-E2-M2,W4-S3-N1-E2-M2,5600,-0.002088203,0.00047599,49902.70002,368158749.5,18007950.11
W4-S3-N3-E2-M3,W1-S1-N1-E2-M2,W2-S1-N1-E2-M2,W3-S2-N1-E2-M2,5600,-0.008287552,0.205749751,49592.68844,443696125.7,18007950.11
W4-S3-N3-E2-M3,W1-S1-N1-E2-M2,W2-S1-N1-E2-M2,W2-S3-N1-E2-M2,5600,-0.005506979,-0.000835884,49731.73687,367676001.5,18007950.11
W4-S3-N3-E2-M3,W1-S1-N1-E2-M2,W2-S1-N1-E2-M2,W4-S3-N1-E1-M2,5600,-0.006181274,0.038213983,49698.01734,382045711.9,18007950.11
W4-S3-N3-E2-M3,W1-S1-N1-E2-M2,W2-S1-N1-E2-M2,W4-S1-N2-E2-M2,1600,0,0,7182.662448,117701982.4,7948739.042
W4-S3-N3-E2-M3,W1-S1-N1-E2-M2,W2-S1-N1-E2-M2,W4-S3-N3-E2-M2,1600,0.037235784,0.003501127,7450.114518,118114072,7948739.042
W4-S3-N3-E2-M3,W1-S1-N1-E2-M2,W2-S1-N1-E2-M2,W1-S1-N1-E2-M2,1600,-0.128443841,0.394838159,6260.093693,164175216.4,7948739.042
W4-S3-N3-E2-M3,W1-S1-N1-E2-M2,W2-S1-N1-E2-M2,W4-S3-N1-E2-M2,1600,-0.004144027,0.001909264,7152.897303,117926706.6,7948739.042
W4-S3-N3-E2-M3,W1-S1-N1-E2-M2,W2-S1-N1-E2-M2,W3-S2-N1-E2-M2,1600,-0.116139095,0.18868238,6348.474533,139910272.6,7948739.042
W4-S3-N3-E2-M3,W1-S1-N1-E2-M2,W2-S1-N1-E2-M2,W2-S3-N1-E2-M2,1600,-0.093833928,-0.015138902,6508.685015,115920103.6,7948739.042
W4-S3-N3-E2-M3,W1-S1-N1-E2-M2,W2-S1-N1-E2-M2,W4-S3-N1-E1-M2,1600,-0.07550948,0.030854447,6640.303343,121333612,7948739.042
W4-S3-N3-E2-M3,W1-S1-N1-E2-M2,W2-S1-N1-E2-M2,W4-S1-N2-E2-M2,6920,0,0,100.0341071,17337516.32,2267272.008
W4-S3-N3-E2-M3,W1-S1-N1-E2-M2,W2-S1-N1-E2-M2,W4-S3-N3-E2-M2,6920,0.009663739,5.65E-05,101.0008106,17338495.04,2267272.008
W4-S3-N3-E2-M3,W1-S1-N1-E2-M2,W2-S1-N1-E2-M2,W1-S1-N1-E2-M2,6920,-0.009891286,1.021070232,99.04464111,35040338.11,2267272.008
W4-S3-N3-E2-M3,W1-S1-N1-E2-M2,W2-S1-N1-E2-M2,W4-S3-N1-E2-M2,6920,-0.007200419,-3.24E-06,99.3138196,17337460.19,2267272.008
W4-S3-N3-E2-M3,W1-S1-N1-E2-M2,W2-S1-N1-E2-M2,W3-S2-N1-E2-M2,6920,-0.00933812,0.510512597,99.09997659,26188536.79,2267272.008
W4-S3-N3-E2-M3,W1-S1-N1-E2-M2,W2-S1-N1-E2-M2,W2-S3-N1-E2-M2,6920,-0.008150018,-2.34E-05,99.21882731,17337109.8,2267272.008
W4-S3-N3-E2-M3,W1-S1-N1-E2-M2,W2-S1-N1-E2-M2,W4-S3-N1-E1-M2,6920,-0.008259321,0.07472316,99.20789327,18633030.33,2267272.008